date,air_temp,air_temp_avg,wind_speed_10ft,wind_dir_10ft
2016.879127,-8.34,-8.29,5.35,25.86
2016.879146,-8.36,-8.41,3.96,99.10
2016.879165,-8.41,-8.39,3.79,46.75
2016.879184,-8.09,-8.26,3.03,38.61
2016.879146,-7.94,-8.04,2.93,44.52
2016.879222,-7.78,-7.83,2.83,50.43
2016.879241,-7.71,-7.68,5.37,89.00
2016.879260,-7.65,-7.68,5.03,76.32
2016.879279,-7.82,-7.77,2.93,106.80
2016.879298,-7.90,-7.86,3.30,88.30
2016.879317,-7.97,-8.00,4.42,76.45
2016.879336,-8.30,-8.24,5.93,100.70
2016.879355,-8.39,-8.35,3.89,108.50
2016.879373,-8.29,-8.32,5.68,107.30
2016.879392,-8.32,-8.34,4.15,88.21
2016.879411,-8.34,-8.36,2.61,69.11
2016.879430,-8.35,-8.32,3.49,112.30
2016.879449,-8.41,-8.41,4.80,128.00
2016.879468,-8.47,-8.49,6.11,143.70
2016.879487,-8.52,-8.48,4.79,120.20
2016.879506,-8.57,-8.57,6.28,110.90
2016.879525,-8.46,-8.53,7.46,123.00
2016.879544,-8.56,-8.48,6.57,130.50
2016.879563,-8.69,-8.64,5.99,130.80
2016.879582,-8.82,-8.72,7.09,119.20
2016.879601,-8.74,-8.75,5.88,130.90
2016.879620,-8.80,-8.75,5.56,137.30
2016.879639,-8.85,-8.75,5.23,143.70
2016.879658,-8.46,-8.68,4.94,127.90
2016.879677,-8.60,-8.49,5.15,123.70
2016.879696,-8.85,-8.78,5.04,142.00
2016.879715,-8.95,-8.86,5.97,158.50
2016.879734,-8.84,-8.86,3.47,139.30
2016.879753,-8.93,-8.89,4.91,130.80
2016.879772,-8.98,-8.96,2.62,154.90
2016.879791,-9.09,-9.03,4.52,142.20
2016.879810,-9.18,-9.11,4.46,124.50
2016.879829,-9.23,-9.27,2.23,134.40
2016.879848,-9.10,-9.16,2.81,133.20
2016.879867,-9.07,-9.10,2.74,148.90
2016.879886,-9.55,-9.26,6.45,169.80
2016.879905,-9.70,-9.62,5.51,182.00
2016.879924,-9.92,-9.82,6.61,192.50
2016.879943,-10.10,-10.04,6.14,184.00
2016.879962,-10.04,-10.01,5.21,180.20
2016.879981,-9.93,-10.02,4.57,171.80
2016.880000,-10.15,-10.01,6.99,223.00
2016.880019,-10.30,-10.23,6.24,209.60
2016.880038,-10.44,-10.44,5.50,196.20
2016.880057,-10.34,-10.35,5.18,187.40
2016.880076,-10.23,-10.26,4.87,178.60
2016.880151,-10.49,-10.47,5.11,196.70
2016.880113,-10.74,-10.67,5.35,214.80
2016.880132,-10.88,-10.86,5.59,204.50
2016.880151,-10.84,-10.85,6.54,222.80
2016.880170,-10.74,-10.75,6.56,216.90
2016.880189,-10.69,-10.71,6.22,219.80
2016.880208,-10.64,-10.66,5.88,222.70
2016.880170,-10.65,-10.58,5.89,222.10
2016.880246,-10.66,-10.49,5.90,221.50
2016.880265,-11.04,-10.86,6.62,219.10
2016.880284,-11.24,-11.05,6.49,198.70
2016.880303,-11.30,-11.38,5.91,215.50
2016.880322,-11.64,-11.35,5.02,206.70
2016.880341,-11.69,-11.55,6.21,214.40
2016.880360,-11.80,-11.73,5.08,211.20
2016.880379,-11.90,-11.91,3.94,208.00
2016.880398,-12.53,-12.18,3.76,213.60
2016.880417,-13.09,-12.77,2.09,212.10
2016.880436,-13.68,-13.32,2.54,214.80
2016.880455,-14.19,-14.01,2.76,209.40
2016.880474,-13.73,-14.00,1.53,220.30
2016.880493,-13.42,-13.75,1.43,248.80
2016.880512,-13.53,-13.72,1.34,236.05
2016.880531,-13.64,-13.69,1.25,223.30
2016.880550,-13.15,-13.66,2.39,250.80
2016.880512,-13.61,-13.59,2.11,251.80
2016.880588,-14.06,-13.51,1.82,252.80
2016.880607,-14.23,-13.59,1.40,251.80
2016.880626,-14.32,-14.10,1.59,233.05
2016.880645,-14.40,-14.60,1.77,214.30
2016.880664,-14.45,-14.50,1.44,239.80
2016.880683,-14.54,-14.50,1.35,247.70
2016.880702,-15.24,-15.07,1.29,244.20
2016.880721,-15.93,-15.64,1.23,240.70
2016.880740,-15.54,-15.81,0.45,242.40
2016.880759,-15.00,-15.32,0.36,228.45
2016.880778,-14.46,-14.83,0.27,214.50
2016.880797,-15.14,-14.81,-9999.00,215.80
2016.880815,-15.22,-15.27,0.37,256.90
2016.880834,-16.00,-16.12,2.10,241.80
2016.880853,-16.86,-16.64,2.00,242.70
2016.880872,-17.71,-17.16,1.90,243.60
2016.880891,-18.37,-17.49,1.86,248.70
2016.880853,-17.74,-17.54,1.86,237.00
2016.880929,-17.10,-17.59,1.86,225.30
2016.880948,-17.48,-17.51,1.63,231.20
2016.880967,-17.03,-17.09,1.52,233.20
2016.880986,-17.48,-17.21,1.74,221.70
2016.881062,-17.76,-17.63,1.73,225.95
2016.881024,-18.04,-18.04,1.72,230.20
2016.881043,-17.25,-17.79,-9999.00,233.00
2016.881062,-17.22,-16.95,1.87,219.10
2016.881081,-17.44,-16.81,1.54,226.60
2016.881100,-17.05,-16.84,1.58,229.45
2016.881119,-16.66,-16.87,1.63,232.30
2016.881138,-17.01,-17.17,1.37,228.60
2016.881157,-16.49,-16.61,1.43,235.60
2016.881176,-15.96,-16.04,1.49,242.60
2016.881195,-15.82,-15.78,1.72,247.00
2016.881214,-16.49,-16.18,1.38,231.70
2016.881233,-16.30,-16.63,0.97,230.70
2016.881195,-16.06,-16.15,1.04,233.85
2016.881271,-15.81,-15.67,1.11,237.00
2016.881290,-16.12,-15.91,-9999.00,233.40
2016.881309,-16.55,-16.34,1.81,215.00
2016.881328,-16.91,-16.66,1.36,234.10
2016.881404,-16.46,-16.32,1.26,234.00
2016.881366,-16.01,-15.98,1.16,233.90
2016.881385,-15.66,-15.94,0.99,249.20
2016.881404,-16.11,-15.90,0.92,239.20
