date,air_temp,air_temp_avg,wind_speed_10ft,wind_dir_10ft
2016.879127,-6.79,-6.71,1.14,185.30
2016.879146,-7.14,-7.00,0.36,181.80
2016.879165,-7.01,-7.05,0.10,0.41
2016.879184,-7.38,-7.22,1.75,137.60
2016.879203,-7.36,-7.39,1.42,30.03
2016.879222,-7.30,-7.33,0.89,69.27
2016.879241,-7.25,-7.32,0.50,97.10
2016.87926,-7.14,-7.23,0.99,23.36
2016.879279,-7.24,-7.16,3.30,139.40
2016.879298,-7.45,-7.39,1.61,170.00
2016.879317,-7.52,-7.54,0.28,91.90
2016.879336,-7.85,-7.70,2.48,135.30
2016.879355,-7.61,-7.76,2.29,174.70
2016.879373,-7.42,-7.49,0.14,3.12
2016.879392,-7.49,-7.44,-9999.00,73.05
2016.879411,-7.60,-7.52,2.48,28.05
2016.87943,-7.64,-7.65,1.81,96.50
2016.879449,-7.56,-7.65,0.86,78.91
2016.879468,-7.66,-7.66,1.51,80.01
2016.879487,-7.77,-7.67,2.17,81.10
2016.879506,-7.93,-7.83,0.87,82.80
2016.879525,-8.06,-8.02,1.77,143.40
2016.879544,-8.03,-8.07,1.94,69.84
2016.879563,-8.10,-8.12,2.62,91.40
2016.879582,-8.07,-8.05,1.56,120.20
2016.879601,-8.20,-8.17,1.00,88.30
2016.87962,-8.16,-8.19,0.81,21.96
2016.879639,-8.24,-8.23,2.14,172.40
2016.879658,-8.28,-8.28,1.19,32.11
2016.879677,-8.27,-8.27,1.10,62.75
2016.879696,-8.23,-8.31,0.57,100.80
2016.879715,-8.05,-8.15,0.16,65.16
2016.879734,-8.22,-8.13,2.90,72.78
2016.87981,-8.30,-8.26,2.13,70.43
2016.879772,-8.38,-8.39,1.36,68.07
2016.879791,-8.40,-8.38,2.72,99.20
2016.87981,-8.46,-8.43,0.88,100.20
2016.879829,-8.45,-8.41,0.00,75.61
2016.879848,-8.66,-8.56,0.43,98.31
2016.879867,-8.86,-8.71,0.86,121.00
2016.879886,-9.13,-9.02,0.59,93.00
2016.879905,-9.23,-9.21,0.24,343.60
2016.879924,-9.33,-9.30,0.54,73.69
2016.879943,-9.38,-9.34,-9999.00,18.26
2016.879962,-9.44,-9.41,0.49,87.70
2016.879981,-9.44,-9.46,1.25,152.90
2016.88,-9.52,-9.47,0.34,354.40
2016.880019,-9.61,-9.57,0.50,217.20
2016.880038,-9.69,-9.67,0.65,80.00
2016.880057,-9.72,-9.72,2.29,171.20
2016.880076,-9.81,-9.77,0.08,65.30
2016.880151,-9.81,-9.77,0.20,129.05
2016.880113,-9.81,-9.76,0.32,192.80
2016.880132,-9.93,-9.86,0.00,155.10
2016.880151,-10.16,-10.03,0.86,201.80
2016.88017,-10.19,-10.19,0.42,7.03
2016.880189,-10.35,-10.25,0.08,23.81
2016.880208,-10.54,-10.46,0.03,67.93
2016.880227,-10.55,-10.58,0.00,101.80
2016.880246,-10.54,-10.56,0.02,293.30
2016.880265,-10.45,-10.48,0.60,83.20
2016.880284,-10.57,-10.51,0.26,266.20
2016.880303,-10.83,-10.69,0.00,154.60
2016.880322,-10.94,-10.86,0.00,184.50
2016.880341,-11.28,-11.09,0.00,129.30
2016.88036,-11.87,-11.58,0.00,350.10
2016.880379,-12.42,-12.16,0.00,116.40
2016.880398,-12.95,-12.68,0.00,116.80
2016.880417,-13.08,-13.07,0.00,289.40
2016.880436,-13.19,-13.14,0.00,311.40
2016.880455,-13.30,-13.22,0.35,314.10
2016.880474,-13.70,-13.53,0.00,310.40
2016.880493,-13.61,-13.66,0.22,315.70
2016.880512,-13.69,-13.72,0.24,315.55
2016.880531,-13.76,-13.78,0.27,315.40
2016.88055,-13.82,-13.79,0.34,337.90
2016.880569,-14.03,-13.90,0.29,289.30
2016.880588,-14.18,-14.11,0.51,298.40
2016.880607,-14.33,-14.18,0.26,301.75
2016.880626,-14.47,-14.25,0.00,305.10
2016.880645,-14.42,-14.48,0.13,294.40
2016.880664,-14.53,-14.45,0.30,283.00
2016.880683,-14.63,-14.58,0.00,314.90
2016.880702,-14.67,-14.65,0.22,301.60
2016.880721,-14.70,-14.72,0.43,288.30
2016.88074,-14.74,-14.68,0.22,297.90
2016.880759,-14.84,-14.85,0.37,301.40
2016.880778,-14.86,-14.85,0.33,296.70
2016.880797,-14.89,-14.83,0.00,328.40
2016.880815,-15.27,-15.08,0.00,328.60
2016.880834,-15.36,-15.37,0.23,284.50
2016.880853,-15.19,-15.28,0.27,307.30
2016.880872,-15.32,-15.19,0.33,292.60
2016.880948,-15.30,-15.21,0.25,310.70
2016.88091,-15.27,-15.22,0.18,328.80
2016.880929,-15.33,-15.36,0.20,324.50
2016.880948,-15.39,-15.50,0.22,320.20
2016.880967,-15.50,-15.50,0.22,314.90
2016.880986,-15.60,-15.49,0.23,309.60
2016.881005,-15.57,-15.61,0.10,282.30
2016.881024,-15.59,-15.52,0.30,297.90
