date,air_temp,air_temp_avg,wind_speed_10ft,wind_dir_10ft
2016.890872,-2.24,-2.23,0.67,278.90
2016.890891,-2.28,-2.25,0.82,262.60
2016.890910,-2.21,-2.28,1.27,306.50
2016.890929,-2.30,-2.24,0.99,330.00
2016.890948,-2.46,-2.36,1.66,306.90
2016.890967,-2.59,-2.52,1.56,329.80
2016.890986,-2.61,-2.60,2.06,311.50
2016.891004,-2.72,-2.65,2.65,297.00
2016.891023,-2.77,-2.75,0.64,302.60
2016.891042,-2.83,-2.81,0.72,319.10
2016.891061,-2.89,-2.89,1.47,316.65
2016.891080,-2.95,-2.97,2.22,314.20
2016.891099,-3.17,-3.11,2.23,322.80
2016.891118,-3.21,-3.20,1.24,320.80
2016.891194,-3.18,-3.19,1.46,320.05
2016.891156,-3.16,-3.19,1.68,319.30
2016.891175,-3.20,-3.19,1.31,348.80
2016.891194,-3.20,-3.17,1.54,332.00
2016.891213,-3.16,-3.19,0.87,301.10
2016.891232,-3.23,-3.23,0.75,325.15
2016.891251,-3.30,-3.27,0.63,349.20
2016.891270,-3.38,-3.32,0.00,309.70
2016.891289,-3.36,-3.34,0.57,296.50
2016.891308,-3.38,-3.37,0.79,317.10
2016.891327,-3.41,-3.38,0.91,329.90
2016.891346,-3.44,-3.41,0.46,211.05
2016.891365,-3.46,-3.44,0.00,92.20
2016.891384,-3.40,-3.41,0.27,25.46
2016.891403,-3.37,-3.41,0.52,309.00
2016.891422,-3.48,-3.44,0.18,304.30
2016.891441,-3.48,-3.46,0.66,310.65
2016.891460,-3.49,-3.48,1.15,317.00
2016.891479,-3.54,-3.52,0.80,322.60
2016.891498,-3.59,-3.56,0.88,312.90
2016.891517,-3.61,-3.58,0.60,330.40
2016.891536,-3.58,-3.58,0.30,326.20
2016.891555,-3.55,-3.57,0.00,322.00
2016.891574,-3.56,-3.56,0.73,316.40
2016.891593,-3.62,-3.60,0.78,114.00
2016.891612,-3.62,-3.66,0.57,330.40
2016.891631,-3.63,-3.66,0.45,326.40
2016.891650,-3.64,-3.66,0.32,322.40
2016.891669,-3.63,-3.64,0.43,307.90
2016.891688,-3.74,-3.66,0.00,238.70
2016.891707,-3.73,-3.74,0.47,310.00
2016.891725,-3.79,-3.75,0.65,323.70
2016.891744,-3.90,-3.85,0.80,300.30
2016.891763,-4.00,-3.97,0.74,300.40
2016.891782,-4.08,-4.04,0.75,320.50
2016.891801,-4.11,-4.09,0.59,278.30
2016.891820,-4.17,-4.12,0.66,287.70
2016.891782,-4.16,-4.15,0.56,278.70
2016.891858,-4.14,-4.18,0.47,269.70
2016.891877,-4.16,-4.16,0.31,269.70
2016.891896,-4.12,-4.14,0.00,307.50
2016.891915,-4.06,-4.08,0.00,67.13
2016.891934,-4.04,-4.03,0.56,97.90
2016.891953,-4.00,-4.02,0.22,187.80
2016.891972,-4.05,-4.04,0.03,132.90
2016.891991,-4.12,-4.09,0.38,108.80
2016.892010,-4.09,-4.10,0.27,169.00
2016.892029,-4.15,-4.12,1.09,80.90
2016.892048,-4.15,-4.15,1.10,131.00
2016.892010,-4.21,-4.19,0.97,126.05
2016.892086,-4.26,-4.24,0.84,121.10
2016.892105,-4.30,-4.30,1.36,111.00
2016.892124,-4.37,-4.35,1.45,122.10
2016.892143,-4.38,-4.37,2.29,123.80
2016.892219,-4.41,-4.38,2.05,111.70
2016.892181,-4.43,-4.39,1.81,99.60
2016.892200,-4.45,-4.43,0.68,67.40
2016.892219,-4.54,-4.51,0.38,133.40
2016.892238,-4.66,-4.61,1.29,143.80
2016.892257,-4.76,-4.70,-9999.00,92.70
2016.892276,-4.91,-4.80,2.54,96.20
2016.892295,-5.18,-5.12,2.07,121.10
2016.892314,-5.32,-5.29,0.19,116.20
2016.892333,-5.34,-5.32,2.22,123.00
2016.892352,-5.32,-5.31,0.81,113.40
2016.892371,-5.31,-5.29,1.27,89.40
2016.892390,-5.32,-5.31,0.97,157.60
2016.892409,-5.28,-5.30,-9999.00,120.70
2016.892428,-5.23,-5.26,2.04,176.30
2016.892446,-5.22,-5.25,2.20,84.90
2016.892465,-5.15,-5.20,1.95,137.80
2016.892484,-5.21,-5.18,1.82,125.80
2016.892503,-5.21,-5.20,1.46,106.40
2016.892522,-5.08,-5.15,2.70,95.10
2016.892541,-4.84,-4.90,3.21,174.70
2016.892560,-5.09,-4.96,1.12,126.40
2016.892579,-5.23,-5.15,1.47,115.60
2016.892598,-5.15,-5.22,0.91,272.50
2016.892617,-5.11,-5.14,1.44,118.10
2016.892636,-4.84,-4.95,1.46,184.20
2016.892655,-4.72,-4.78,0.31,247.70
2016.892674,-4.65,-4.70,1.15,91.40
2016.892693,-4.74,-4.71,0.87,122.30
2016.892712,-4.88,-4.81,1.47,70.07
2016.892731,-5.29,-5.09,0.69,106.40
2016.892750,-5.29,-5.28,1.30,129.10
2016.892769,-5.24,-5.28,0.17,124.20
2016.892788,-5.17,-5.14,1.08,130.70
2016.892807,-5.08,-5.13,0.19,321.50
2016.892826,-4.89,-4.98,0.61,202.10
2016.892845,-4.70,-4.83,1.03,82.70
2016.892864,-4.70,-4.67,1.16,74.28
2016.892883,-4.58,-4.63,0.85,61.85
2016.892902,-4.46,-4.60,0.55,49.42
2016.892921,-4.64,-4.48,1.52,270.50
2016.892940,-4.72,-4.63,1.32,221.05
2016.892959,-4.80,-4.77,1.12,171.60
2016.892978,-4.47,-4.64,1.25,105.70
2016.892997,-4.79,-4.74,0.66,146.10
2016.893016,-4.82,-4.89,0.91,98.00
2016.893035,-5.00,-4.87,0.57,54.03
2016.893054,-4.89,-4.90,0.83,108.00
2016.893073,-5.11,-5.02,0.13,93.60
2016.893092,-4.84,-5.03,1.20,263.10
2016.893111,-4.92,-4.91,0.41,126.00
2016.893130,-4.95,-4.96,0.12,67.74
2016.893149,-4.95,-5.00,0.00,230.20
2016.893168,-5.01,-4.95,0.28,189.40
2016.893186,-4.93,-4.98,0.56,100.80
2016.893205,-4.91,-4.95,1.22,148.70
2016.893224,-5.10,-5.05,0.88,74.35
2016.893243,-5.15,-5.12,0.00,117.30
2016.893262,-5.30,-5.22,0.00,10.41
2016.893281,-5.24,-5.32,0.20,58.04
2016.893300,-5.34,-5.22,0.47,61.65
2016.893319,-5.49,-5.40,0.22,123.20
2016.893338,-5.51,-5.49,0.69,110.50
2016.893357,-5.48,-5.50,0.34,87.85
2016.893376,-5.46,-5.51,0.00,65.20
2016.893395,-5.51,-5.48,0.00,60.19
2016.893414,-5.92,-5.70,0.02,113.80
2016.893433,-6.20,-6.08,0.03,135.80
2016.893452,-6.38,-6.28,0.13,161.55
2016.893471,-6.56,-6.47,0.24,187.30
2016.893490,-6.77,-6.68,0.12,221.65
2016.893509,-6.98,-6.88,0.00,256.00
2016.893528,-7.19,-7.06,0.00,170.30
2016.893547,-7.38,-7.30,0.21,198.00
2016.893566,-7.28,-7.29,0.36,125.40
2016.893585,-7.42,-7.38,0.31,124.80
2016.893604,-7.57,-7.47,0.27,124.20
2016.893623,-7.60,-7.56,0.38,144.70
2016.893642,-7.81,-7.68,0.54,160.80
2016.893661,-7.80,-7.84,0.32,152.40
2016.893680,-7.78,-7.80,0.32,146.10
2016.893699,-7.75,-7.75,0.31,139.80
2016.893718,-7.58,-7.63,0.86,146.30
2016.893737,-8.28,-8.02,0.96,156.40
2016.893756,-7.64,-8.00,0.47,155.30
2016.893718,-7.64,-7.88,0.57,149.90
2016.893794,-7.65,-7.76,0.68,144.50
2016.893813,-7.58,-7.62,0.26,153.50
2016.893832,-7.61,-7.44,0.35,157.70
2016.893851,-7.50,-7.61,0.64,152.20
2016.893926,-7.50,-7.48,0.32,152.10
2016.893889,-7.49,-7.35,0.00,152.00
2016.893907,-7.31,-7.43,0.82,158.30
2016.893926,-8.09,-7.74,0.66,151.80
2016.893945,-7.89,-8.03,0.32,141.30
2016.893964,-7.54,-7.65,0.42,156.90
2016.893983,-7.20,-7.27,0.52,172.50
2016.894002,-7.29,-7.29,0.12,172.40
2016.894021,-7.01,-7.06,0.64,157.90
2016.894040,-7.87,-7.52,0.00,116.10
2016.894059,-7.41,-7.43,0.00,125.40
2016.894078,-6.94,-7.33,0.00,134.70
2016.894097,-6.98,-7.01,0.30,216.10
2016.894116,-6.75,-6.73,0.00,109.00
2016.894135,-6.78,-6.75,0.39,101.30
2016.894154,-6.76,-6.75,0.52,103.50
2016.894173,-6.77,-6.75,0.01,89.30
2016.894192,-6.79,-6.79,0.60,101.00
2016.894268,-6.74,-6.76,0.30,92.00
2016.894230,-6.70,-6.73,0.00,83.00
2016.894249,-6.69,-6.69,0.00,92.90
2016.894268,-6.67,-6.71,0.00,31.31
2016.894287,-6.67,-6.66,0.00,272.10
2016.894306,-6.78,-6.72,0.12,107.70
2016.894325,-6.85,-6.83,0.00,235.70
2016.894287,-6.89,-6.87,0.00,277.70
2016.894363,-6.93,-6.91,0.00,319.70
2016.894382,-6.86,-6.93,0.32,350.60
2016.894401,-6.92,-6.87,0.00,302.00
2016.894420,-7.00,-6.93,0.00,184.29
2016.894439,-7.08,-6.99,0.00,66.57
2016.894458,-7.31,-7.19,0.00,134.90
2016.894477,-7.46,-7.39,0.34,103.90
2016.894496,-7.62,-7.51,0.00,118.70
2016.894515,-7.76,-7.70,0.00,118.90
2016.894534,-7.93,-7.85,0.00,118.80
2016.894553,-8.02,-7.98,0.56,154.10
2016.894515,-8.06,-8.01,0.53,148.75
2016.894591,-8.10,-8.04,0.50,143.40
2016.894610,-8.30,-8.17,0.09,151.00
2016.894628,-8.48,-8.42,0.00,151.10
2016.894647,-8.05,-8.24,0.72,166.60
2016.894666,-7.83,-8.01,0.59,168.50
2016.894685,-7.94,-7.95,0.59,153.40
2016.894704,-8.04,-8.00,0.29,115.05
2016.894723,-8.14,-8.05,0.00,76.69
2016.894742,-8.18,-8.09,0.85,159.20
2016.894761,-8.19,-8.20,0.68,156.20
2016.894780,-8.13,-8.15,0.00,154.40
2016.894742,-7.95,-7.98,0.00,116.00
2016.894818,-7.77,-7.81,0.00,77.60
2016.894837,-7.82,-7.79,0.21,135.30
2016.894856,-8.08,-7.96,0.00,63.35
2016.894875,-8.29,-8.21,0.00,38.23
2016.894894,-7.97,-8.13,0.49,153.20
2016.894913,-8.33,-8.20,0.45,125.80
2016.894932,-8.32,-8.31,-9999.00,101.70
2016.894951,-8.16,-8.25,0.34,169.80
2016.894970,-7.96,-8.04,0.46,145.30
2016.894989,-7.77,-7.85,0.00,144.10
2016.895065,-7.87,-7.85,0.00,144.10
2016.895027,-7.97,-7.85,0.00,144.10
2016.895046,-8.14,-8.05,0.14,144.10
2016.895065,-7.93,-8.09,0.00,149.70
2016.895084,-7.88,-7.93,0.00,149.70
2016.895103,-8.12,-8.00,0.00,149.80
2016.895122,-7.73,-7.95,0.00,60.44
2016.895141,-6.30,-7.03,0.00,324.90
2016.895160,-5.64,-5.95,0.00,275.70
2016.895179,-5.27,-5.55,0.00,154.97
2016.895198,-4.89,-5.15,0.00,34.23
2016.895217,-4.98,-4.82,0.00,34.44
2016.895236,-4.85,-5.00,0.00,34.24
2016.895255,-4.94,-4.83,0.07,34.20
2016.895274,-3.60,-4.59,0.33,291.30
2016.895293,-4.30,-3.30,0.00,295.60
2016.895312,-3.60,-3.97,0.00,30.71
2016.895331,-2.85,-2.93,0.28,304.10
2016.895349,-3.32,-3.29,0.76,275.60
2016.895368,-4.12,-3.65,0.58,81.50
2016.895387,-3.45,-4.04,0.44,286.80
2016.895406,-3.56,-3.21,0.61,41.03
2016.895425,-4.63,-3.89,1.67,321.20
2016.895444,-4.06,-3.73,1.57,275.40
2016.895463,-3.49,-3.57,1.48,229.60
2016.895482,-4.17,-3.96,0.93,322.60
2016.895501,-4.20,-4.31,0.00,264.00
2016.895520,-4.00,-4.23,1.81,63.59
2016.895539,-3.30,-3.69,2.29,293.00
2016.895558,-4.39,-3.94,2.22,342.60
2016.895634,-4.24,-4.09,1.57,327.65
2016.895596,-4.10,-4.24,0.92,312.70
2016.895615,-3.99,-4.01,0.61,200.30
2016.895634,-4.14,-4.17,2.35,343.30
2016.895653,-4.12,-4.21,2.69,259.90
2016.895672,-4.26,-4.11,1.73,322.80
2016.895691,-4.42,-4.20,1.88,325.00
2016.895710,-4.24,-4.32,2.54,327.10
2016.895729,-4.31,-4.34,0.49,311.60
2016.895748,-4.23,-4.31,2.13,309.90
2016.895767,-4.29,-4.30,3.21,315.60
2016.895786,-4.38,-4.34,2.03,283.00
2016.895805,-4.19,-4.33,1.24,342.50
2016.895767,-4.31,-4.41,1.23,328.75
2016.895843,-4.44,-4.50,1.22,315.00
2016.895862,-4.06,-4.31,0.68,354.00
2016.895881,-4.00,-4.10,1.19,274.60
2016.895900,-3.85,-3.96,2.59,295.30
2016.895919,-4.18,-4.03,1.25,323.30
2016.895881,-4.11,-4.13,1.20,324.65
2016.895957,-4.05,-4.24,1.15,326.00
2016.895976,-4.08,-4.11,1.99,287.40
2016.895995,-4.09,-4.09,2.48,312.00
2016.896014,-4.47,-4.22,1.99,299.20
2016.896033,-4.41,-4.43,2.03,306.90
2016.895995,-4.47,-4.47,1.77,296.80
2016.896071,-4.54,-4.52,1.52,286.70
2016.896089,-4.79,-4.64,1.03,308.50
2016.896108,-5.05,-4.96,1.64,317.60
2016.896127,-5.31,-5.28,2.25,326.70
2016.896146,-5.45,-5.37,2.37,292.50
2016.896165,-5.60,-5.53,0.20,63.70
2016.896184,-5.73,-5.62,1.94,326.00
2016.896203,-5.95,-5.87,0.67,269.10
2016.896222,-5.92,-5.98,1.29,313.30
2016.896241,-6.04,-6.01,1.09,345.00
2016.896317,-6.02,-6.02,1.17,286.45
2016.896279,-6.01,-6.04,1.25,227.90
2016.896298,-5.96,-6.07,1.37,352.90
2016.896317,-6.01,-6.11,2.02,179.00
2016.896336,-6.07,-6.15,2.68,5.11
2016.896355,-6.19,-6.13,1.46,311.70
2016.896374,-6.15,-6.16,1.65,335.00
2016.896393,-6.10,-6.17,0.98,44.83
2016.896412,-6.10,-6.14,0.81,344.30
2016.896431,-6.18,-6.15,0.22,39.88
2016.896450,-5.89,-6.12,0.69,11.50
2016.896469,-5.62,-5.80,1.45,7.82
2016.896488,-5.42,-5.48,1.63,19.07
2016.896507,-5.39,-5.42,0.24,289.80
2016.896526,-5.37,-5.38,1.55,298.80
2016.896545,-5.35,-5.34,2.87,307.80
2016.896564,-5.48,-5.39,2.09,288.40
2016.896583,-5.33,-5.39,0.29,9.37
2016.896659,-5.33,-5.36,0.77,173.44
2016.896621,-5.34,-5.33,1.25,337.50
2016.896640,-5.28,-5.30,1.31,277.50
2016.896659,-5.30,-5.28,1.41,351.80
2016.896678,-5.29,-5.27,1.13,280.00
2016.896697,-5.24,-5.28,1.29,286.20
2016.896716,-5.26,-5.25,0.54,278.50
2016.896678,-5.31,-5.31,0.44,275.40
2016.896754,-5.35,-5.36,0.33,272.30
2016.896773,-5.35,-5.35,2.16,310.90
2016.896792,-5.39,-5.39,1.19,209.60
2016.896810,-5.40,-5.36,0.98,283.70
2016.896829,-5.31,-5.35,0.44,316.30
2016.896848,-5.35,-5.33,1.35,304.00
2016.896867,-5.38,-5.36,2.70,342.70
2016.896886,-5.50,-5.44,0.27,125.70
2016.896905,-5.52,-5.53,0.73,274.60
2016.896924,-5.49,-5.50,1.37,296.20
2016.896943,-5.55,-5.54,0.76,295.30
2016.896962,-5.54,-5.53,0.97,271.90
2016.896981,-5.56,-5.54,1.76,0.23
2016.897000,-5.51,-5.54,1.72,261.80
2016.897019,-5.59,-5.56,1.02,128.80
2016.897038,-5.74,-5.66,1.47,297.30
2016.897057,-5.71,-5.72,1.03,281.00
2016.897076,-5.64,-5.66,1.13,92.60
2016.897095,-6.39,-6.22,1.42,80.02
2016.897114,-7.13,-6.79,1.72,67.44
2016.897133,-7.36,-7.26,2.68,67.82
2016.897152,-7.48,-7.44,1.94,107.20
2016.897228,-7.56,-7.50,2.63,108.00
2016.897190,-7.63,-7.56,3.31,108.80
2016.897209,-7.80,-7.70,2.38,127.80
2016.897228,-7.82,-7.82,2.45,93.90
2016.897247,-7.87,-7.84,2.22,110.40
2016.897266,-7.93,-7.86,1.98,126.90
2016.897285,-8.08,-8.02,1.56,71.73
2016.897247,-8.26,-8.16,1.27,103.27
2016.897323,-8.44,-8.29,0.98,134.80
2016.897342,-8.71,-8.61,2.01,131.70
2016.897361,-8.83,-8.80,1.11,128.70
2016.897380,-9.04,-8.95,0.47,119.30
2016.897399,-9.22,-9.13,0.86,194.50
2016.897361,-9.55,-9.31,1.55,172.60
2016.897437,-9.88,-9.48,2.24,150.70
2016.897456,-10.00,-10.02,1.49,107.40
2016.897475,-9.90,-9.94,1.87,188.30
2016.897494,-9.82,-9.86,1.35,97.50
2016.897513,-9.74,-9.80,0.95,98.90
2016.897531,-9.70,-9.71,1.83,175.30
2016.897550,-9.77,-9.72,0.89,121.70
2016.897569,-9.91,-9.82,1.26,226.80
2016.897588,-10.16,-10.07,1.44,200.25
2016.897607,-10.40,-10.31,1.62,173.70
2016.897683,-10.58,-10.48,1.20,133.75
2016.897645,-10.76,-10.65,0.78,93.80
2016.897664,-10.84,-10.74,1.08,130.05
2016.897683,-10.92,-10.82,1.37,166.30
2016.897702,-11.16,-11.03,1.12,86.60
2016.897721,-11.34,-11.27,0.81,58.13
2016.897740,-11.26,-11.25,1.97,67.50
2016.897759,-11.33,-11.28,1.40,155.20
2016.897778,-11.55,-11.36,0.60,70.58
2016.897797,-11.82,-11.72,0.06,83.70
2016.897816,-11.60,-11.75,1.68,85.50
2016.897835,-11.34,-11.34,0.38,130.40
2016.897854,-11.44,-11.38,1.30,134.60
2016.897873,-11.23,-11.27,0.12,112.50
2016.897892,-10.84,-10.95,1.47,78.64
2016.897911,-10.51,-10.75,0.00,102.00
2016.897930,-10.42,-10.60,0.47,98.35
2016.897949,-10.32,-10.44,0.93,94.70
2016.897968,-10.02,-10.18,1.13,67.79
2016.897987,-10.11,-10.07,1.24,124.00
2016.898006,-10.08,-10.14,1.15,113.80
2016.898025,-9.92,-9.97,0.89,38.78
2016.898044,-8.99,-9.18,0.68,66.43
2016.898063,-9.11,-9.18,1.89,18.81
2016.898082,-8.43,-8.58,0.25,177.00
2016.898101,-8.43,-8.52,0.06,210.10
